[GIN] 2025/07/20 - 11:31:20 | 200 |     269.508µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:22 | 200 |      49.617µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:22 | 200 |     328.338µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:24 | 200 |      49.806µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:24 | 200 |     252.066µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:26 | 200 |       59.35µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:26 | 200 |     301.754µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:28 | 200 |      50.845µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:28 | 200 |     269.357µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:30 | 200 |      48.376µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:30 | 200 |     258.271µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:32 | 200 |      50.919µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:32 | 200 |     253.653µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:34 | 200 |      56.689µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:34 | 200 |     333.048µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:36 | 200 |      55.833µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:36 | 200 |     357.606µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:38 | 200 |      62.477µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:38 | 200 |     305.176µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:40 | 200 |     157.687µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:40 | 200 |     494.867µs |       127.0.0.1 | GET      "/api/v1/interfaces"
